content,created_at,date,likeCount,media,outlinks,quoteCount,quotedTweet,replyCount,retweetCount,retweetedTweet,url,id,conversationId
It’s always good to be back at the Galivants Ferry Stump! https://t.co/5Aq57vMzgk,Tue Sep 17 03:02:00 +0000 2019,2019-09-17 03:02:00+00:00,940,"[Video(thumbnailUrl='https://pbs.twimg.com/media/EEomJSjXoAEcIEV.jpg', variants=[VideoVariant(contentType='video/mp4', url='https://video.twimg.com/amplify_video/1173791920071553024/vid/480x480/zS2o4Xv2QPQpdITk.mp4?tag=13', bitrate=832000), VideoVariant(contentType='application/x-mpegURL', url='https://video.twimg.com/amplify_video/1173791920071553024/pl/M8h9ALjD9oY-4Yff.m3u8?tag=13', bitrate=None), VideoVariant(contentType='video/mp4', url='https://video.twimg.com/amplify_video/1173791920071553024/vid/320x320/Jl-MUSuuwgHDdxXk.mp4?tag=13', bitrate=432000), VideoVariant(contentType='video/mp4', url='https://video.twimg.com/amplify_video/1173791920071553024/vid/720x720/eQMLo4i2kVkPoHhF.mp4?tag=13', bitrate=1280000)], duration=41.583, type='video')]",[],11,,143,172,,https://twitter.com/JoeBiden/status/1173794201240096768,1173794201240096768,1173794201240096768
"259 days into 2019.

300 mass shootings.

We cannot go on like this.",Tue Sep 17 00:50:00 +0000 2019,2019-09-17 00:50:00+00:00,7411,,[],75,,411,1299,,https://twitter.com/JoeBiden/status/1173760982625214467,1173760982625214467,1173760982625214467
"America’s farmers continue to pay the price for President Trump’s reckless trade war. He thinks he’s being tough, but it’s easy to act tough when someone else is feeling the pain.

As president, I’ll stand up to China and help working families. https://t.co/UHhCVLetKD",Tue Sep 17 00:01:00 +0000 2019,2019-09-17 00:01:00+00:00,1675,,['https://www.npr.org/2019/09/15/760588429/we-re-tightening-our-belt-trump-s-midwest-support-tested-as-farmers-struggle'],25,,256,443,,https://twitter.com/JoeBiden/status/1173748651182710785,1173748651182710785,1173748651182710785
"It is only with persistent effort, fortitude in our actions, and faith in ourselves and the future that change comes. It’s never easy. But I know there’s nothing we can’t accomplish if we stand together as Americans. https://t.co/oivMtCiSJ8",Mon Sep 16 21:54:34 +0000 2019,2019-09-16 21:54:34+00:00,1624,"[Video(thumbnailUrl='https://pbs.twimg.com/amplify_video_thumb/1173715722989690880/img/YJ7tItsTLggCHfkg.jpg', variants=[VideoVariant(contentType='video/mp4', url='https://video.twimg.com/amplify_video/1173715722989690880/vid/720x720/9gwD9XBGi7-nsWxj.mp4?tag=13', bitrate=1280000), VideoVariant(contentType='video/mp4', url='https://video.twimg.com/amplify_video/1173715722989690880/vid/320x320/QIaNMtxRZw3a387x.mp4?tag=13', bitrate=432000), VideoVariant(contentType='application/x-mpegURL', url='https://video.twimg.com/amplify_video/1173715722989690880/pl/mRYh7ynOmNWXpBcd.m3u8?tag=13', bitrate=None), VideoVariant(contentType='video/mp4', url='https://video.twimg.com/amplify_video/1173715722989690880/vid/480x480/Fy_J7kRs0jls28dr.mp4?tag=13', bitrate=832000)], duration=41.291, type='video')]",[],23,,188,327,,https://twitter.com/JoeBiden/status/1173716835000299523,1173716835000299523,1173716835000299523
"Hate only hides, it doesn't go away. We have not relegated white supremacy and racism to the pages of history. But the greatness of this nation has always been, and must continue to be, that we still strive to. https://t.co/lvwgQLuRfg",Mon Sep 16 20:35:30 +0000 2019,2019-09-16 20:35:30+00:00,1671,,['https://abcnews.go.com/US/joe-biden-rebukes-white-supremacy-56th-memorial-observance/story?id=65625674'],16,,136,361,,https://twitter.com/JoeBiden/status/1173696937381511172,1173696937381511172,1173696937381511172
Being a nation of immigrants is one of America's greatest strengths. It doesn't matter where your family comes from — we're bound by the same ideals and made up of the same grit and determination to succeed. https://t.co/wskp3AL5cb,Mon Sep 16 19:14:37 +0000 2019,2019-09-16 19:14:37+00:00,1709,"[Video(thumbnailUrl='https://pbs.twimg.com/amplify_video_thumb/1173669689710563329/img/xU0oTl8o_VMpxFiB.jpg', variants=[VideoVariant(contentType='video/mp4', url='https://video.twimg.com/amplify_video/1173669689710563329/vid/640x360/IMOGhJu8jp8rw6B1.mp4?tag=13', bitrate=832000), VideoVariant(contentType='application/x-mpegURL', url='https://video.twimg.com/amplify_video/1173669689710563329/pl/4khNVCjBcYTBmBIQ.m3u8?tag=13', bitrate=None), VideoVariant(contentType='video/mp4', url='https://video.twimg.com/amplify_video/1173669689710563329/vid/480x270/FLv2a8yzHtOyRX-W.mp4?tag=13', bitrate=288000), VideoVariant(contentType='video/mp4', url='https://video.twimg.com/amplify_video/1173669689710563329/vid/1280x720/va7tP4OAjV9Is91T.mp4?tag=13', bitrate=2176000)], duration=55.389, type='video')]",[],25,,162,370,,https://twitter.com/JoeBiden/status/1173676582621388806,1173676582621388806,1173676582621388806
"We have not relegated racism and white supremacy to the pages of history. Lynch mobs, arsonists, bomb makers, and lone gunmen. We must give hate no safe harbor. https://t.co/YnyO7V4u0G",Mon Sep 16 00:40:00 +0000 2019,2019-09-16 00:40:00+00:00,4444,"[Video(thumbnailUrl='https://pbs.twimg.com/amplify_video_thumb/1173390441561149440/img/5ZIqekidxJoD1Fja.jpg', variants=[VideoVariant(contentType='video/mp4', url='https://video.twimg.com/amplify_video/1173390441561149440/vid/320x320/CiYdtkjXUvv8pMgG.mp4?tag=13', bitrate=432000), VideoVariant(contentType='video/mp4', url='https://video.twimg.com/amplify_video/1173390441561149440/vid/720x720/zbwg4ezNLlTbvj9A.mp4?tag=13', bitrate=1280000), VideoVariant(contentType='application/x-mpegURL', url='https://video.twimg.com/amplify_video/1173390441561149440/pl/EpvPTcRPaW5R7o0H.m3u8?tag=13', bitrate=None), VideoVariant(contentType='video/mp4', url='https://video.twimg.com/amplify_video/1173390441561149440/vid/480x480/P5UPbHYgN15w9oQq.mp4?tag=13', bitrate=832000)], duration=60.644, type='video')]",[],75,,446,864,,https://twitter.com/JoeBiden/status/1173396077749428224,1173396077749428224,1173396077749428224
"Los Estados Unidos es una idea que se ha fortalecido a través de las contribuciones únicas de la comunidad hispana. ¿Dónde estaríamos sin la juez Sonia Sotomayor, César Chávez, @HildaSolis, Dolores Huerta y otros que han mejorado nuestro mundo? #HerenciaHispana",Sun Sep 15 21:42:00 +0000 2019,2019-09-15 21:42:00+00:00,408,,[],10,,128,100,,https://twitter.com/JoeBiden/status/1173351282830131200,1173351282830131200,1173351282830131200
"America is an idea that has grown stronger through the unique contributions of Hispanic communities. Where would we be without Justice Sonia Sotomayor, César Chávez, @HildaSolis, Dolores Huerta and others who have changed our world for the better? #HispanicHeritageMonth",Sun Sep 15 21:38:00 +0000 2019,2019-09-15 21:38:00+00:00,1214,,[],9,,102,248,,https://twitter.com/JoeBiden/status/1173350275920400384,1173350275920400384,1173350275920400384
"A job is about a lot more than a paycheck. It's about dignity and respect.

Proud to stand with @UAW to demand fair wages and benefits for their members. America's workers deserve better. https://t.co/vdYS3sp4eo",Sun Sep 15 20:24:52 +0000 2019,2019-09-15 20:24:52+00:00,1338,,['https://twitter.com/UAW/status/1173017046902329344'],23,https://twitter.com/UAW/status/1173017046902329344,143,348,,https://twitter.com/JoeBiden/status/1173331871964585984,1173331871964585984,1173331871964585984
